Season,Team,OverallWin,OverallLoss,WL_Rec,HomeWins,HomeLoss,Home_WL_Rec,RoadWin,RoadLoss,Road_WL_Rec,,,NYL,CHI,DAL,PHO,LVA,LAS,MIN,GSV,ATL,CON,IND,WAS,SEA
2025,New York Liberty,27,17,0.614,17,5,0.773,10,12,0.455,,,,3-1,2-1,1-3,2-1,2-1,1-3,3-1,2-2,3-1,3-1,4-0,1-2
2025,Chicago Sky,10,34,0.227,6,16,0.273,4,18,0.182,,,1-3,,3-0,0-4,0-3,2-1,1-3,0-3,0-4,2-2,0-5,1-3,0-3
2025,Dallas Wings,10,34,0.227,6,16,0.273,4,18,0.182,,,1-2,0-3,,2-2,0-4,0-4,0-4,1-3,1-3,2-1,1-3,1-2,1-3
2025,Phoenix Mercury,27,17,0.614,15,7,0.682,12,10,0.545,,,3-1,4-0,2-2,,1-3,3-1,1-3,4-0,0-3,2-1,2-1,3-0,2-2
2025,Las Vegas Aces,30,14,0.682,17,5,0.773,13,9,0.591,,,1-2,3-0,4-0,3-1,,3-1,1-3,3-1,3-0,4-0,1-2,2-2,2-2
2025,Los Angeles Sparks,21,23,0.477,9,13,0.409,12,10,0.545,,,1-2,1-2,4-0,1-3,1-3,,0-4,1-3,0-3,3-0,3-1,3-1,3-1
2025,Minnesota Lynx,34,10,0.773,20,2,0.909,14,8,0.636,,,3-1,3-1,4-0,3-1,3-1,4-0,,4-0,1-2,3-0,2-1,2-1,2-2
2025,Golden State Valkyries,23,21,0.523,14,8,0.636,9,13,0.409,,,1-3,3-0,3-1,0-4,1-3,3-1,0-4,,1-2,2-1,3-0,4-0,2-2
2025,Atlanta Dream,30,14,0.682,16,6,0.727,14,8,0.636,,,2-2,4-0,3-1,3-0,0-3,3-0,2-1,2-1,,4-1,2-2,3-1,2-2
2025,Connecticut Sun,11,33,0.250,7,15,0.318,4,18,0.182,,,1-3,2-2,1-2,1-2,0-4,0-3,0-3,1-2,1-4,,1-3,2-2,1-3
2025,Indiana Fever,24,20,0.545,13,9,0.591,11,11,0.500,,,1-3,5-0,3-1,1-2,2-1,1-3,1-2,0-3,2-2,3-1,,2-2,3-0
