Team,GP,Pts,eFG%,TS%,Shot Quality,Rim Freq,SMR Freq,LMR Freq,C3 Freq,AB3 Freq,Rim or 3 Freq,Rim FG%,SMR FG%,LMR FG%,C3 FG%,AB3 FG%,midrange_freq,total_3pt_freq,ppg,is_aces,team_full,shot_profile
ATL,44,3712,0.5139,0.5534,0.52,0.3133,0.2128,0.0556,0.0754,0.3428,0.7316,0.6139,0.4268,0.3434,0.3644,0.3314,0.2684,0.4182,84.36363636,FALSE,Atlanta Dream,Modern (Rim+3)
MIN,44,3787,0.5422,0.5713,0.5,0.2636,0.2079,0.1562,0.0754,0.297,0.636,0.6835,0.4238,0.4017,0.4425,0.3618,0.3641,0.3724,86.06818182,FALSE,Minnesota Lynx,Balanced
WAS,44,3394,0.4834,0.5292,0.49,0.312,0.2917,0.1271,0.0653,0.2039,0.5812,0.6442,0.3574,0.3567,0.3279,0.3292,0.4188,0.2692,77.13636364,FALSE,Washington Mystics,Balanced
CON,44,3337,0.4576,0.5024,0.49,0.264,0.266,0.1664,0.0607,0.243,0.5676,0.6085,0.349,0.3992,0.3575,0.2887,0.4324,0.3037,75.84090909,FALSE,Connecticut Sun,Midrange-Heavy
SEA,44,3614,0.5046,0.5377,0.49,0.2628,0.2947,0.1235,0.07,0.249,0.5818,0.6688,0.4002,0.383,0.3709,0.3338,0.4182,0.319,82.13636364,FALSE,Seattle Storm,Balanced
LAS,44,3769,0.5213,0.5618,0.52,0.3496,0.2297,0.039,0.0938,0.2879,0.7314,0.6696,0.3555,0.3217,0.3502,0.3329,0.2687,0.3817,85.65909091,FALSE,Los Angeles Sparks,Modern (Rim+3)
IND,44,3734,0.5165,0.5516,0.51,0.3319,0.2221,0.0969,0.0767,0.2724,0.681,0.6145,0.4315,0.3686,0.3966,0.3313,0.319,0.3491,84.86363636,FALSE,Indiana Fever,Modern (Rim+3)
LVA,44,3680,0.5059,0.552,0.47,0.1503,0.3442,0.123,0.1018,0.2807,0.5328,0.6264,0.4551,0.4344,0.3597,0.3485,0.4672,0.3825,83.63636364,TRUE,Las Vegas Aces,Midrange-Heavy
DAL,44,3594,0.4685,0.5136,0.48,0.2523,0.307,0.1384,0.0535,0.2488,0.5546,0.6015,0.4135,0.3747,0.3393,0.2967,0.4454,0.3023,81.68181818,FALSE,Dallas Wings,Midrange-Heavy
PHX,44,3643,0.502,0.5409,0.5,0.2538,0.2512,0.0918,0.0931,0.3101,0.6571,0.611,0.4208,0.3863,0.3986,0.3226,0.343,0.4032,82.79545455,FALSE,Phoenix Mercury,Modern (Rim+3)
GSV,44,3420,0.4815,0.5292,0.49,0.1922,0.2661,0.0834,0.112,0.3464,0.6505,0.6152,0.4194,0.3389,0.3178,0.3273,0.3495,0.4584,77.72727273,FALSE,Golden State Valkyries,Modern (Rim+3)
NYL,44,3713,0.5261,0.572,0.5,0.2466,0.2626,0.0803,0.0929,0.3176,0.657,0.6883,0.3894,0.4416,0.3783,0.3483,0.3429,0.4105,84.38636364,FALSE,New York Liberty,Modern (Rim+3)
CHI,44,3335,0.4755,0.5135,0.5,0.3262,0.2577,0.1099,0.0551,0.2511,0.6324,0.5523,0.393,0.3887,0.35,0.3251,0.3676,0.3062,75.79545455,FALSE,Chicago Sky,Balanced
